楼层号,评论时间,用户名称,用户性别,用户等级,用户会员等级,装扮名称,装扮编号,装扮所属up主,评论内容
5474,2021-07-11 12:50:39,紙落云烟,女,3,普通会员,无,000000,无,战神遗迹
5473,2021-07-11 09:24:30,djdlsndjcfmrjiw,保密,3,普通会员,无,000000,无,浩浩乎，平沙无垠，夐不见人。河水萦带，群山纠纷。黯兮惨悴，风悲日曛。蓬断草枯，凛若霜晨。鸟飞不下，兽铤亡群。亭长告余曰：“此古战场也，常覆三军。往往鬼哭，天阴则闻。”伤心哉！秦欤汉欤？将近代欤？\n吾闻夫齐魏徭戍，荆韩召募。万里奔走，连年暴露。沙草晨牧，河冰夜渡。地阔天长，不知归路。寄身锋刃，腷臆谁愬？秦汉而还，多事四夷，中州耗斁，无世无之。古称戎夏，不抗王师。文教失宣，武臣用奇。奇兵有异于仁义，王道迂阔而莫为。呜呼噫嘻！\n吾想夫北风振漠，胡兵伺便。主将骄敌，期门受战。野竖旌旗，川回组练。法重心骇，威尊命贱。利镞穿骨，惊沙入面，主客相搏，山川震眩。声析江河，势崩雷电。至若穷阴凝闭，凛冽海隅，积雪没胫，坚冰在须。鸷鸟休巢，征马踟蹰。缯纩无温，堕指裂肤。当此苦寒，天假强胡，凭陵杀气，以相剪屠。径截辎重，横攻士卒。都尉新降，将军复没。尸踣巨港之岸，血满长城之窟。无贵无贱，同为枯骨。可胜言哉！鼓衰兮力竭，矢尽兮弦绝，白刃交兮宝刀折，两军蹙兮生死决。降矣哉，终身夷狄；战矣哉，暴骨沙砾。鸟无声兮山寂寂，夜正长兮风淅淅。魂魄结兮天沉沉，鬼神聚兮云幂幂。日光寒兮草短，月色苦兮霜白。伤心惨目，有如是耶！\n吾闻之：牧用赵卒，大破林胡，开地千里，遁逃匈奴。汉倾天下，财殚力痡。任人而已，岂在多乎！周逐猃狁，北至太原。既城朔方，全师而还。饮至策勋，和乐且闲。穆穆棣棣，君臣之间。秦起长城，竟海为关。荼毒生民，万里朱殷。汉击匈奴，虽得阴山，枕骸徧野，功不补患。\n苍苍蒸民，谁无父母？提携捧负，畏其不寿。谁无兄弟？如足如手。谁无夫妇？如宾如友。生也何恩，杀之何咎？其存其没，家莫闻知。人或有言，将信将疑。悁悁心目，寤寐见之。布奠倾觞，哭望天涯。天地为愁，草木凄悲。吊祭不至，精魂无依。必有凶年，人其流离。呜呼噫嘻！时耶命耶？从古如斯！为之奈何？守在四夷。
5472,2021-07-11 08:37:25,LoveLiver,男,6,大会员,无,000000,无,绝无回旋余地！！！
5471,2021-07-11 03:26:52,枝江大学宿管大爷,男,5,年度大会员,嘉然今天吃什么,013282,嘉然今天吃什么,支持正义反转[给心心]
5469,2021-07-11 00:53:41,流浪的王小浪,男,5,大会员,无,000000,无,支持正义反转[嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳]
5468,2021-07-10 23:07:02,力反馈啊嗯,男,5,年度大会员,嘉然今天吃什么,005827,嘉然今天吃什么,反转了！
5467,2021-07-10 22:32:11,叶月の轩°,男,6,年度大会员,无,000000,无,惊天大反转了属于是
5466,2021-07-10 18:28:36,霞隐散华,男,5,年度大会员,三周年恋曲,045945,会员购3周年,Asoul时代，沸腾期待！
5465,2021-07-10 17:56:09,晃悠悠upup,保密,2,普通会员,无,000000,无,反轉了！
5464,2021-07-10 17:46:15,房东的狗丿,男,6,年度大会员,嘉然今天吃什么,037322,嘉然今天吃什么,反转了！
